Id,Name,OwnerId,Status,Opportunity__c,IsConverted,CreatedDate
00QWC00000Ms7JB2AZ,Accenture Re Test Lead 88,005WC00000J7TgBYAV,Qualified,006WC00000QPX3RYAX,false,2026-05-29T14:10:11.000+0000
00QWC00000Mrz8z2AB,Accenture Re Test Lead 88,005WC00000J6kB9YAJ,Qualified,006WC00000QPW7NYAX,false,2026-05-29T14:10:03.000+0000
00QWC00000Ms5pF2AR,Accenture Re Test Lead 77,005WC00000J6kB9YAJ,Qualified,006WC00000QPVrFYAX,false,2026-05-29T13:59:42.000+0000
00QWC00000Ms5fa2AB,Accenture Re Test Lead 77,005WC00000J7TgBYAV,Qualified,006WC00000QOt0GYAT,false,2026-05-29T13:59:56.000+0000
00QWC00000Mfz4T2AR,Cosmo Kramer,005WC00000J6kB9YAJ,Qualified,006WC00000QNoTNYA1,false,2026-05-21T17:36:53.000+0000
00QWC00000MqT2s2AF,Accenture Re Test Lead 3,005WC00000JVQOHYA5,Qualified,006WC00000QNjFCYA1,false,2026-05-28T19:34:10.000+0000
00QWC00000MqO9e2AF,Accenture Re Test Lead 5,005WC00000J6kB9YAJ,Qualified,006WC00000QNfGPYA1,false,2026-05-28T19:42:26.000+0000
00QWC00000LmV732AF,Ruby Smith,005WC00000J7TtJYAV,Qualified,006WC00000QJTiZYAX,false,2026-04-21T18:44:05.000+0000
00QWC00000KQDnq2AH,Testing TEsting,005WC00000FE1EvYAL,Qualified,006WC00000Q3VhpYAF,false,2025-10-02T15:41:17.000+0000
00QWC00000LQDK52AP,Burke Smith,005WC00000J6kAlYAJ,Qualified,006WC00000QJahzYAD,false,2026-04-08T16:39:10.000+0000
00QWC00000MmQEr2AN,Accenture 3 Test Lead,005WC00000J6kB9YAJ,Qualified,006WC00000QHIG5YAP,false,2026-05-26T17:09:46.000+0000
00QWC00000MmMUb2AN,Accenture 2 Test Lead,005WC00000J7TgBYAV,Qualified,006WC00000QHDjRYAX,false,2026-05-26T16:25:25.000+0000
00QWC00000MmI4P2AV,Accenture 1 Test Lead,005WC00000J7TgBYAV,Qualified,006WC00000QH9r7YAD,false,2026-05-26T15:23:37.000+0000
00QWC00000L1hxJ2AR,Alan Stander,005WC00000J6tYLYAZ,Qualified,006WC00000PpC2LYAV,false,2023-08-28T16:24:03.000+0000
00QWC00000MONOb2AP,George Costanza,005WC00000J7U40YAF,Qualified,006WC00000Mq465YAB,false,2026-05-12T16:14:35.000+0000
