 ›   Warning: @salesforce/cli update available from 2.64.8 to 2.137.7.
67.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,NONE;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,NONE;WORKFLOW,INFO
21:58:13.1 (1499378)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
21:58:13.1 (1621780)|EXECUTION_STARTED
21:58:13.1 (1644053)|CODE_UNIT_STARTED|[EXTERNAL]|Flow:Quote
21:58:13.1 (2406216)|CODE_UNIT_FINISHED|Flow:Quote
21:58:13.1 (2427251)|EXECUTION_FINISHED
21:58:13.14 (14414288)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
21:58:13.14 (14434388)|EXECUTION_STARTED
21:58:13.14 (14455305)|CODE_UNIT_STARTED|[EXTERNAL]|TRIGGERS
21:58:13.14 (14516211)|CODE_UNIT_STARTED|[EXTERNAL]|01qWC000007NC1F|QuoteTrigger on Quote trigger event BeforeUpdate|__sfdc_trigger/QuoteTrigger
21:58:13.14 (14572095)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
21:58:13.14 (14694399)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
21:58:13.14 (15418019)|HEAP_ALLOCATE|[95]|Bytes:3
21:58:13.14 (15507317)|HEAP_ALLOCATE|[100]|Bytes:152
21:58:13.14 (15522663)|HEAP_ALLOCATE|[417]|Bytes:408
21:58:13.14 (15533945)|HEAP_ALLOCATE|[430]|Bytes:408
21:58:13.14 (15554582)|HEAP_ALLOCATE|[317]|Bytes:6
21:58:13.14 (15577050)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
21:58:13.14 (15645393)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
21:58:13.14 (15790484)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x2deb4216
