Id,Sales_Inquiry__c,Sales_Inquiry__r.Name,Sales_Territory__c,Sales_Territory__r.Name,Opportunity__c,CreatedDate
a0mWC0000057cYkYAI,00QWC00000Ms7JB2AZ,Accenture Re Test Lead 88,a0hWC0000022HUCYA2,Cyber-Defensive Security-New York,006WC00000QPX3RYAX,2026-05-29T14:10:11.000+0000
a0mWC0000057cYjYAI,00QWC00000Mrz8z2AB,Accenture Re Test Lead 88,a0hWC0000027bbBYAQ,Test Territory (USD),006WC00000QPW7NYAX,2026-05-29T14:10:10.000+0000
a0mWC0000057bb4YAA,00QWC00000Ms5fa2AB,Accenture Re Test Lead 77,a0hWC0000022HUCYA2,Cyber-Defensive Security-New York,006WC00000QOt0GYAT,2026-05-29T13:59:56.000+0000
a0mWC0000057bb3YAA,00QWC00000Ms5pF2AR,Accenture Re Test Lead 77,a0hWC0000027bbBYAQ,Test Territory (USD),006WC00000QPVrFYAX,2026-05-29T13:59:55.000+0000
a0mWC00000574s1YAA,00QWC00000Mfz4T2AR,Cosmo Kramer,a0hWC0000022HvPYAU,Cyber-Defensive Security-Alabama,006WC00000QNoTNYA1,2026-05-28T21:38:11.000+0000
a0mWC00000573BCYAY,00QWC00000MqTxJ2AV,Accenture Re Test Lead 5,a0hWC0000022HUCYA2,Cyber-Defensive Security-New York,,2026-05-28T19:42:32.000+0000
a0mWC00000573BBYAY,00QWC00000MqO9e2AF,Accenture Re Test Lead 5,a0hWC0000027bbBYAQ,Test Territory (USD),006WC00000QNfGPYA1,2026-05-28T19:42:31.000+0000
a0mWC000005737yYAA,00QWC00000MqHxs2AF,Accenture Re Test Lead 4,a0hWC0000022HUCYA2,Cyber-Defensive Security-New York,,2026-05-28T19:38:48.000+0000
a0mWC000005737xYAA,00QWC00000MqTdx2AF,Accenture Re Test Lead 4,a0hWC0000027bbBYAQ,Test Territory (USD),,2026-05-28T19:38:48.000+0000
a0mWC000005736LYAQ,00QWC00000MqT2s2AF,Accenture Re Test Lead 3,a0hWC0000027bbBYAQ,Test Territory (USD),006WC00000QNjFCYA1,2026-05-28T19:34:12.000+0000
a0mWC0000057337YAA,00QWC00000MqRc92AF,Accenture Re Test Lead 2,a0hWC0000027bbBYAQ,Test Territory (USD),,2026-05-28T19:32:15.000+0000
a0mWC00000572rpYAA,00QWC00000Mq2kF2AR,Accenture Re Test Lead,a0hWC0000027bbBYAQ,Test Territory (USD),,2026-05-28T19:23:36.000+0000
a0mWC0000056QGHYA2,00QWC00000MotRF2AZ,Joe Test,a0hWC0000022qCfYAI,Cyber-Defensive Security-Financial - Other Services-Wisconsin,,2026-05-27T23:52:08.000+0000
a0mWC0000056PorYAE,00QWC00000MosoX2AR,Joe Test,a0hWC0000022HxVYAU,Tech-RPA+-Core IGA,,2026-05-27T23:41:52.000+0000
a0mWC0000056NgbYAE,00QWC00000Moosz2AB,Joe Test,a0hWC0000027bbBYAQ,Test Territory (USD),,2026-05-27T22:57:40.000+0000
a0mWC0000056NezYAE,00QWC00000MooGI2AZ,Joe Test,a0hWC0000022HwgYAE,Cyber-Defensive Security-Arizona,,2026-05-27T22:55:50.000+0000
a0mWC0000056NdNYAU,00QWC00000Mog5q2AB,Joe Test,a0hWC0000022HwXYAU,Cyber-Defensive Security-Arkansas,,2026-05-27T22:53:53.000+0000
a0mWC0000056NblYAE,00QWC00000MolM02AJ,Joe Test,a0hWC0000027bbBYAQ,Test Territory (USD),,2026-05-27T22:49:45.000+0000
a0mWC0000056JWYYA2,00QWC00000MooMj2AJ,Joe Test,a0hWC0000022qCgYAI,Cyber-Defensive Security-Wisconsin,,2026-05-27T22:47:51.000+0000
a0mWC0000056NLdYAM,00QWC00000MooBR2AZ,Joe Test,a0hWC0000022qCgYAI,Cyber-Defensive Security-Wisconsin,,2026-05-27T22:45:30.000+0000
